"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","din_55.wav","tin","55","labeled","expo-10ms","A","B","4","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_75.wav","tin","75","labeled","expo-10ms","A","B","4","50","16.431676725155","till","tin","d-right","234"
"break3","","","","","","","","","","","","","","",""
"phonetic categorization","exposure","din_50.wav","tin","50","unlabeled","expo-10ms","A","B","4","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","din_55.wav","tin","55","unlabeled","expo-10ms","A","B","4","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","din_60.wav","tin","60","unlabeled","expo-10ms","A","B","4","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","din_60.wav","tin","60","unlabeled","expo-10ms","A","B","4","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","dip_55.wav","tip","55","labeled","expo-10ms","A","B","4","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_55.wav","tip","55","labeled","expo-10ms","A","B","4","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_70.wav","tip","70","labeled","expo-10ms","A","B","4","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_80.wav","tip","80","labeled","expo-10ms","A","B","4","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_45.wav","tip","45","unlabeled","expo-10ms","A","B","4","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_55.wav","tip","55","unlabeled","expo-10ms","A","B","4","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_55.wav","tip","55","unlabeled","expo-10ms","A","B","4","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_55.wav","tip","55","unlabeled","expo-10ms","A","B","4","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","B","4",,,"flare","share","d-right","234"
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","B","4",,,"flare","share","d-right","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","B","4",,,"rare","flare","d-right","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","B","4",,,"rare","flare","d-right","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","B","4",,,"rare","share","d-right","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","B","4",,,"rare","share","d-right","234"
"phonetic categorization","test","dill_50.wav","dill","50",,,,"T4","7",,,"till","dill","d-right","234"
"phonetic categorization","test","dill_35.wav","dill","35",,,,"T4","7",,,"till","dill","d-right","234"
"phonetic categorization","test","dip_5.wav","dip","5",,,,"T4","7",,,"tip","dip","d-right","234"
"phonetic categorization","test","din_15.wav","din","15",,,,"T4","7",,,"tin","din","d-right","234"
"phonetic categorization","test","din_40.wav","din","40",,,,"T4","7",,,"tin","din","d-right","234"
"phonetic categorization","test","dill_25.wav","dill","25",,,,"T4","7",,,"till","dill","d-right","234"
"phonetic categorization","test","din_65.wav","din","65",,,,"T4","7",,,"tin","din","d-right","234"
"phonetic categorization","test","dip_-5.wav","dip","-5",,,,"T4","7",,,"tip","dip","d-right","234"
"phonetic categorization","test","dill_70.wav","dill","70",,,,"T4","7",,,"till","dill","d-right","234"
"phonetic categorization","test","din_45.wav","din","45",,,,"T4","7",,,"tin","din","d-right","234"
